名称,价格,简介,元素,难度,时长,人员配置,人员,,,,,,,,,
前男友的一百种死法,￥35,三个女人一台戏，五个女人炸翻天。5位女生为了前男友会发生哪些碰撞呢？是会互相揪头发还是会互相诋毁？想起前男友对你做过的可恨之事，对前男友这个身份恨之入骨的玩家想要好好痛快大骂一场，这个欢乐本能让你酣畅淋漓地宣泄出来。,"['桌面', '现代', '欢乐', '情感', '本格', '盒装']",进阶,4,5女,5,,,,,,,,,
山田洋子,￥58,“生日快乐！许个愿吧姑娘。”“哇！雪白的蜡烛，圣洁的赞歌，真棒！现在，我想见见我的朋友。”.........电锯拉响，猛鬼环饲，谁能逃出生天？真相背后究竟是怎样的黑手操纵着一切？从虚幻到现实，带你体验最深切的绝望！,"['桌面', '日式', '现代', '推理', '恐怖', '本格', '盒装']",进阶,4,2男4女,6,,,,,,,,,
罪名成立,￥66,“城市的角落，游荡危险的气息一遍又一遍低吟，是怎样的舞台剧相传上帝七天创造世界却不料第八日之后人们原初的罪恶开始蔓延黑夜撕开白天”,"['桌面', '现代', '推理', '情感', '还原', '本格', '盒装']",进阶,5,4男4女,8,,,,,,,,,
风中有朵雨做的云,￥39.90,“欢迎来到90年代。”火凤凰歌舞厅邀请您到“歌王争霸”K歌赛来一场酣畅淋漓的蹦迪局。最近的《风雨云2：好春光》火得一塌糊涂，圈内知名作者树大招风总是能让人有所触动。而故事1《风中有朵雨做的云》同样有着挑动你心弦的能力。本中一句“你回头看看我，我不信你两眼空空”不知道触动了多少人。《风中有朵雨做的云》的节奏掌握恰当，当你沉浸于欢乐氛围时，危险悄然来临......别被吓跑了，千万留意恐怖环节中十分关键的信息。故事揪心，恐怖推理并存，无论你是沉浸本玩家，还是推土机，《风雨云》中都能有你想要的。,"['桌面', '现代', '恐怖', '半封闭', '变格', '盒装']",进阶,4,3男2女,5,,,,,,,,,
龙宴,￥39.90,你能登上帝位还是被贬为庶民？一场勾心斗角，谋权夺位的大战一触即发。一开始的私聊环节就让你难以置信，“我要效忠的竟然是他？”剧本有趣的地方莫过于设置了兵符机制，它不仅加强了玩家之间的互动性，还把打斗激烈的气氛烘托到了顶端，让你惊喜连连。在分阵营的抗衡对战中，尔虞我诈、假意投诚的现象屡屡发生，孰敌孰友，真是让人直呼难以认清。要想登上皇位，赶紧来拉帮结派吧！,"['桌面', '古风', '架空', '机制', '阵营', '本格', '盒装']",进阶,4,5男3女,8,,,,,,,,,
子时已到,￥58,因由怪事|魂久不归。作者采用插叙的叙事手法|在开场的第一个环节“食祀”就让你感到仪式感满满|而后续的剧情能让你体验到恐怖氛围的同时|还能让你还原出过往产生的悲剧。在所有人都以为快结束时|又会发现一个新的世界|打破你的想象力。结局的反转更让你细思极恐|更有红绳|灵牌|各种道具加持|给你不错的游戏体验。,"['桌面', '恐怖', '还原', '本格', '变格', '盒装']",新手,4,4男2女,6,,,,,,,,,
千佛梦,￥50,“这是一场千佛的幻梦，目之所及皆为执念。”翻开剧本，就被作者的文字带入到了黄沙弥漫的大漠深处。开头破冰环节直接将玩家的参与性和代入感拉满，文物争夺的拉锯战带给你满分的体验。后续的凶案设计也是充满了新意，丝毫不会觉得拉垮。随着剧情逐步发展，越来越能体会到作者想要表达的、隐藏在故事表面下的立意。剧本从完全与众不同角度讲述了一种独特的家国情怀，“国破山河在，城春草木深。”,"['桌面', '古风', '机制', '立意', '还原', '盒装']",新手,5,3男3女,6,,,,,,,,,
病娇男孩的恋爱日记,￥50,“我叫萧何。”,"['桌面', '架空', '现代', '推理', '恐怖', '半封闭', '还原', '盒装']",进阶,4,3男3女,6,,,,,,,,,
无人犯罪,￥98,“一场离奇的大火，一次仓促的判决。 他，究竟是正义的警察，还是杀人的恶魔？ 偏远乡村的交通事故，毫无关联的当事人…… 这一切是意外？还是另有原因？”,"['桌面', '现代', '机制', '推理', '本格', '盒装']",进阶,5,3男3女,6,,,,,,,,,
暗黑者：七宗欲,￥68,“龙州市突发连环杀人案，遇害者死状离奇，他们共同的特征是死亡时面带微笑，自称DARKER的神秘男子在每一个案发现场都留下线索，向警方预告下一个死者。”,"['桌面', '现代', '推理', '立意', '还原', '封闭', '本格', '盒装']",进阶,6,6男6女,12,,,,,,,,,
马丁内斯死在惊奇馆,￥48,“在布鲁日大陆上，有一个名叫米诺尔的梦幻国度。”,"['桌面', '架空', '推理', '立意', '开放', '还原', '新本格', '盒装']",烧脑,6,3男3女,6,,,,,,,,,
作者不详,￥35,“在一座偏僻的小村庄里，最近发生了一件怪事。那是一个晴朗无风的夜晚，村中女校的那座废弃旧校舍，莫名的燃起了大火。”,"['桌面', '日式', '架空', '推理', '恐怖', '开放', '还原', '变格', '盒装']",进阶,5,6女,6,,,,,,,,,
失格二十一克,￥35,人在逝去的瞬间，会减轻21克。所以，21克，是灵魂的重量。然而，这21克却重若千钧。这个本的逻辑相当严密，每每盘清楚故事细节之后都会激起一身的鸡皮疙瘩；又在其中探讨了人性，给到玩家相当大的震撼；在不可知之下，还有着触动人心的温柔，也许不会让你哭，但是会告诉我们如何好好生活。,"['桌面', '现代', '情感', '开放', '盒装']",烧脑,3.5,3男2女,5,,,,,,,,,
金陵有座东君书院前传,￥58,“保大十三年十一月(公元955年)，后周柴荣南征，进军南，围攻寿州。”,"['桌面', '古风', '情感', '本格', '盒装']",进阶,4,3男3女,6,,,,,,,,,
惠子,￥58,今晚直播4885教室请碟仙哦。碟仙、笔仙怕是最经典的招魂仪式了，《惠子》的请碟仙、驱鬼环节加上npc的加成足以让你尖叫连连，招魂游戏的后劲你无法想象。《惠子》作为早期的剧本杀作品，日式恐怖本的先行者，是你不能错过的经典之作。满屋的尖叫，为了逃命切记要镇定！,"['桌面', '日式', '恐怖', '变格', '盒装']",进阶,3.5,3男2女,5,,,,,,,,,
野の蔷薇,￥35,密室杀人，是“不可能犯罪”的一种，也是最具有代表性的一种，是在表象和逻辑上都不可能发生的犯罪行为。作为一个密室入门本，《野の蔷薇》设置了三个密室杀人案，且难度都不会太高，更重要的是中间设置了密室讨论环节，充分鼓励了玩家发散思维，尝试每一种可能，新手也能有充分的参与感，是一个相当不错的密室硬核入坑选择。,"['桌面', '日式', '推理', '立意', '开放', '本格', '盒装']",烧脑,5,4男2女,6,,,,,桌面,0,立意,99,237
涂川2:三生契,￥149,“冥有死境，天玄地黄，是为黄泉。”,"['桌面', '古风', '架空', '情感', '开放', '还原', '变格', '城限']",进阶,5,3男3女,6,,,,,盒装,8,日式,109,194
逃脱艺术家,￥48,“时间的流逝，会留下岁月侵蚀的痕迹；质量的消失，也遵循能量守恒的原理；可在「逃脱空间」中，一切定律都不复存在...”,"['桌面', '欧式', '推理', '半封闭', '还原', '新本格', '盒装']",烧脑,5,4男2女,6,,,,,本格,21,民国,109,144
当海风吹过我的坟墓,￥58,“当海风吹过 我的坟墓，我们的爱情 再次复苏”,"['桌面', '现代', '机制', '情感', '还原', '本格', '盒装']",新手,4,3男4女,7,,,,,现代,24,半封闭,122,136
蓝色大丽花,￥39.90,改编自“蓝可儿事件”以及“黑色大丽花案”的恐怖本《蓝色大丽花》，足以让你切身体会到“根据真实事件改编”的恐惧。作为恐怖本的佼佼者，可以说在读本的时候就能击破你的防线，自带蒙太奇镜头，细思极恐。互动式的演绎环节还需要你去克服恐惧注意关键信息，让人不断徘徊在崩溃边缘。当真相浮出水面时又是更深一层的恐惧感包裹着你，让你汗毛直立。作者对于案件的猜想，让你脑海里不禁浮现一句话“这不会就是真相吧！”真相扑朔迷离，生死皆在你手中。,"['桌面', '现代', '恐怖', '变格', '盒装']",进阶,4,3男2女,5,,,,,还原,29,新本格,129,120
爱幼妇产医院,￥78,你有跟鬼玩过捉迷藏吗？欢迎来到《爱幼妇产医院》。《爱幼》剧本主打沉浸体验，以妇产医院为背景的创作更加加分，还额外的设置了很多有趣的机关，npc演绎环节也使恐怖体验加倍升级，千万注意，不要被鬼找到了哦。最后，搜证的时候也随时可能和鬼来一个“亲密接触”，胆小者慎入哦。,"['桌面', '现代', '推理', '恐怖', '开放', '本格', '盒装']",进阶,6,4男4女,8,,,,,开放,43,欧式,133,87
兵临城下,￥58,“站在中国历史的至暗时刻，没有那个人，就做那个人。”说起圈内知名工作室老玉米的《刀鞘》，不少人都有所耳闻，不过若是玩不到这个城限，那不如先上他们家的另一部同类型作品——《兵临城下》。作为一部抗战题材的阵营本，它更多的是从战场上的一个小角落，以更市井更平凡的角度去诠释了这个题材，跳脱出了以往抗战阵营必是在部队里的设定。丝毫没有边缘角色之下，每个玩家都会有属于自己的高光时刻，让玩家感受到那段屈辱历史之中小人物所散发的光芒，也可以照亮我们如今的希望，是个沉浸玩家不可错过的剧本！,"['桌面', '民国', '情感', '立意', '开放', '还原', '盒装']",进阶,4,4男3女,7,,,,,机制,47,封闭,137,80
余香,￥58,父爱如山，虽一言不发，却始终巍峨耸立。这部作品是经典剧本《年轮》的续作，开局可选择困难模式，也就是凶手也不知道自己是凶手。光是这一点，就已经能让不少推土机玩家跃跃欲试了。然而这个本的优秀之处又何止在推理方面呢，以简单平铺的叙述方式讲述了这一家子的生活，所描述的真实感却无不让人为之动容，能让玩家在脑海中浮现起父亲的形象。当然，若是对推理略感吃力的玩家，也可以果断选择作者人性化设立的简单模式，也会有相当不错的体验。,"['桌面', '现代', '推理', '本格', '盒装']",烧脑,5,3男2女,5,,,,,推理,49,校园,159,75
月光下的持刀者,￥48,“在密室中苏醒的人，冰冷的尸体，模糊不明的记忆。”,"['桌面', '现代', '推理', '还原', '本格', '盒装']",烧脑,6,3男3女,6,,,,,欢乐,57,武侠,159,63
刑事侦缉档案-献祭者（人数不限）,￥66,"“由于无剧本无阅读无人数限制的设定，能够很好地解决组车问题，甚至有勇士只身一人前往挑战，而且遇到中途跳车的也不影响游戏。
”","['桌面', '现代', '机制', '推理', '开放', '还原', '本格', '盒装']",烧脑,4,5男5女,1月10日,,,,,情感,64,玄幻,167,54
疯子和疯子和疯子和疯子和疯子和疯子,￥48,“狂躁，抑郁，焦虑，强迫，反社会，变态，分裂，偏执，边缘……属于疯子的世界，你见过吗？”,"['桌面', '架空', '现代', '推理', '开放', '还原', '本格', '盒装']",进阶,4.5,3男3女,6,,,,,阵营,68,谍战,189,49
月亮沉入海底时,￥48,“愿我们，历经阴晴圆缺，心中仍有明月，月亮沉入海底时，太阳终会升起”,"['桌面', '现代', '欢乐', '情感', '本格', '盒装']",进阶,4,3男3女,6,,,,,城限,75,惊悚,207,42
艺伎回忆录,￥39.90,"“华族、军人、忍者、艺伎，这本《艺伎回忆录》会带你回到阴谋与浪漫并存的日本大正时代
浮生梦?余烬,https://p0.meituan.net/dzopen/d399341e070261a71739205d154ba616226584.jpg,￥158,https://g.meituan.com/arche/dzbiz/biz-product-detail/play-standard-drama-detail.html?notitlebar=1&cityid=*&playId=102592363,“一枕黄粱，一折红戏。 一场烟花，一抔余烬。 你是否还记得幼时，奶奶在你枕边呢喃过的那些故事：先辈生逢乱世，临危相爱，以身殉国，护卫山河万里？”,['6人'","['桌面', '日式', '阵营', '情感', '半封闭', '本格', '盒装']",进阶,4,4男4女,8,,,,,恐怖,78,其它,207,39
眠梦不老泉,￥39.90,“不在场证明，众目睽睽之下的死亡事件，不可能的密室”，这些都是《眠梦不老泉》的三重谜案。作为一个六人本格硬核推理本，你不仅可以在这个剧本中感受三起凶案的扑朔迷离，还可以体会还原真相后直击人性的反思。从谋杀之谜的世界回到沉浸世界，《眠梦不老泉》不要错过了。,"['桌面', '欧式', '现代', '推理', '开放', '还原', '本格', '盒装']",烧脑,6,3男3女,6,,,,,古风,79,未来,237,38
龙宴2-旱城,￥59,"“这部作品让你仿佛置身朝堂之中，感受那权谋争斗。
”","['桌面', '古风', '阵营', '欢乐', '本格', '盒装']",进阶,4.5,5男3女,8,,,,,变格,81,科幻,237,36
在逃公主,￥68,噢，上帝，瞧瞧这俏丽的脸蛋，您是某尼在逃公主吗？3男3女的欢乐情感本《在逃公主》，我愿称之为“沙雕童话”，它能将你的公主梦一一实现。开头的游戏、演绎、飙戏环节，简直是戏精玩家的主场。剧本以还原为主，难度不高，但冲击力可不弱。本中关于亲情、爱情的故事，足够让你在不知不觉间停下笑声，直到视线模糊。,"['桌面', '现代', '欢乐', '情感', '开放', '还原', '本格', '盒装']",进阶,4.5,3男3女,6,,,,,架空,85,独家,237,33
权倾天下,￥168,“普天之下，莫非王土。率土之滨，莫非王臣。天下割据，群雄逐鹿。权倾天下，史由谁书？”,"['桌面', '架空', '机制', '阵营', '还原', '城限']",进阶,7,5男3女,8,,,,,立意,99,,,24
上钟儿,￥59,“欢迎观临，中式足疗一位！58号技师！8号房上钟！”《上钟儿》，一个自带热点的题材——足浴城。当玩家都以为这是一个无厘头欢乐本的时候，却又发现这是一个集合了职场宫斗、商业谍中谍等元素的剧本，甚至背负着足底按摩这个中华传统文化的传承。每个角色看似十分平庸，但是平凡的人物都有着一个伟大的理想——搞钱。来！拉上你的小伙伴们一起快乐的搞钱吧！,"['桌面', '现代', '阵营', '欢乐', '本格', '盒装']",进阶,4,5男4女,9,,,,,日式,109,,,19
一探纠镜,￥48,“陕西省蓝田县，属西安市郊县，县城距市区五十二公里，以秦岭为界，东接华州，西临库峪河”,"['桌面', '现代', '推理', '恐怖', '新本格', '本格', '盒装']",烧脑,5,3男3女,6,,,,,民国,109,,,19
档案·玻璃屋,￥48,“在欺骗他人之前先欺骗自己。”《档案?玻璃屋》是一个硬核推理本，这里既有血字、分尸、密室多个高能案件交错，又有本格、变格的巧妙融合。盲凶的设计也让剧本“难上加难”，如果不注重细节，你可能连自己是不是凶手都不知道。结尾的反转让你在以为已经找到答案的时候又疑惑不已，所以，你以为的真相到底是什么？,"['桌面', '架空', '现代', '推理', '还原', '本格', '盒装']",进阶,4.5,4男3女,7,,,,,半封闭,122,,,14
王座,￥58,“阿斯加德的风雪夜，维京民族的极寒。”,"['桌面', '欧式', '机制', '阵营', '半封闭', '还原', '本格', '城限']",进阶,4.5,4男3女,7,,,,,新本格,129,,,12
后宫,￥58,后宫佳丽三千，小主您是否能独得皇上恩宠呢？作为欢乐互撕本的《后宫》，两男四女的配置反串更加刺激，无疑是戏精玩家的天堂了。其案件和还原部分对小白玩家也是满分的友好。《后宫》还是个高自由的剧本，人设规则什么的都不重要，互相爆料宫中密事的机制更是让欢乐指数直线上升，只要参与就都能玩出不一样的快乐。古风欢乐、互撕上位，后宫之事皆由你掌控。,"['桌面', '古风', '机制', '欢乐', '本格', '盒装']",进阶,4,2男4女,6,,,,,欧式,133,,,11
帝阙谣,￥59,获得玉玺，登上皇位，从此走向人生巅峰！在《帝阙谣》这个武侠阵营本中，道具可换可偷可交易，玩家自身就可以制造出有趣的剧情冲突，而阵营分组也是全靠玩家自己的良心和队友的私人恩怨，撕起来可谓笑料不断，精彩连连。各位在游戏中永远不要掉以轻心，能获得的东西就不要放过，技多不压身，万全的准备才有胜利的关键。,"['桌面', '古风', '阵营', '武侠', '开放', '变格', '盒装']",进阶,4.5,6男2女,8,,,,,封闭,137,,,10
大橘为重,￥58,人均小动物在本作中，你将成为一只可爱的小动物，在“铲屎官”不在家的时候，集结“咕咕特工队”上演一场奇幻精彩的冒险。《大橘为重》是一个以动物视角看世界的欢乐治愈本，能让你在体验过后了解自己的“毛孩子”当你不在家时都在想些什么、做些什么。剧中妙趣横生的合作跑团机制，将欢乐指数拉满，让你在玩本过程中获得社交。到最后你还会发现，故事中隐藏着诸多让你意料之外的反转，说不定你会因此泪目哦~,"['桌面', '架空', '现代', '欢乐', '立意', '开放', '还原', '本格', '盒装']",进阶,4,4男3女,7,,,,,校园,159,,,6
野の蔷薇：落椿,￥48,“相传在日本北海道札幌市的南边，有个叫做国都的小镇，镇上民风淳朴，百姓安居乐业。”,"['桌面', '日式', '现代', '推理', '立意', '开放', '还原', '本格', '盒装']",进阶,5,4男2女,6,,,,,武侠,159,,,6
似灵寺2,￥59,“今天是农历四月初四，一行人来到了一间名为“404”的酒吧，门口的LED灯上写着今晚的主打酒名为情深缘浅。故事开始前，让我们考虑几个问题，为何天下情深之人皆都缘浅？何为陪伴？何为守护？何为爱情？”,"['桌面', '现代', '情感', '本格', '盒装']",新手,3.5,3男3女,6,,,,,玄幻,167,,,5
似灵寺,￥59,“一个寺庙。每年都会有无数恋人在这里求一支姻缘签，为自己爱的人许下最真挚的愿望，寺庙受了香火，百试百灵。寺庙的主持告诉大家，每年的四月初四寅时五刻的时候这里会开启一次爱情的大门，走进去就可以和爱的人永远在一起。”,"['桌面', '现代', '情感', '本格', '盒装']",新手,4,4男2女,6,,,,,谍战,189,,,3
涂川,￥58,“魂之溯引，忘川为引。”《涂川》为你带来的，不是粗暴的“按头哭”，而是像一汪清泉流入你的心里。共情能力强的玩家，或许在看本的时候就已经忍不住湿润了眼眶。让人为之动容的也不只有爱情，甚至还有兄妹情。一丝善念，却结了最苦的果，世间真情留不住，到头来，一场空。,"['桌面', '古风', '情感', '玄幻', '开放', '还原', '盒装']",进阶,4.5,4男3女,7,,,,,惊悚,207,,,2
杀进头等舱,￥78,“十年前，一个商业奇葩横空出世，迅速成为“富不死”排行榜第一。吊诡的是，没有人知道ta的样貌、年龄，只知道，他叫——郑梅乾！！”,"['桌面', '现代', '机制', '欢乐', '还原', '本格', '盒装']",新手,5,4男3女,7,,,,,其它,207,,,2
月落洼,￥48,“公元1914年(民国三年)9月20日在江苏与浙江的两省交界处，有一座西塘古镇，地势平坦，周围河流遍布，水路交错，生长着许多古树，蔚然成森——往嘉兴的方向走去，偶尔能看到一些不高的丘陵，隐于林中。”,"['桌面', '民国', '推理', '本格', '盒装']",烧脑,4,3男2女,5,,,,,未来,237,,,1
